,user_id,trial_number,phrase_text,adverb,direction
191,4,23,backward immediately,immediately,backward
192,4,24,leftward and to the back,,backward-left
193,4,25,above and leftward gradually,gradually,left-up
194,4,26,to the left and upward,,left-up
195,4,27,to the front and leftward,,forward-left
196,4,28,upward and to the front,,forward-up
197,4,29,leftward and forward,,forward-left
198,4,30,gradually to the back and down,gradually,backward-down
199,4,31,quickly leftward,quickly,left
200,4,32,quickly ahead and left,quickly,forward-left
201,4,33,immediately backward and right,immediately,backward-right
202,4,34,ahead and right,,forward-right
203,4,35,ahead and leftward gradually,gradually,forward-left
204,4,36,right and backward,,backward-right
205,4,37,upward and to the back,,backward-up
206,4,38,to the right immediately,immediately,right
207,4,39,to the right and backward softly,softly,backward-right
208,4,40,to the back and to the right greatly,greatly,backward-right
209,4,41,ahead harshly,harshly,forward
210,5,0,left,,left
211,5,1,backward,,backward
212,5,2,up,,up
213,5,3,right,,right
214,5,4,forward,,forward
215,5,5,down,,down
216,5,6,upward and leftward,,left-up
217,5,7,upward and left slightly,slightly,left-up
218,5,8,to the front and upward,,forward-up
219,5,9,gradually to the front and above,gradually,forward-up
220,5,10,ahead and right,,forward-right
221,5,11,to the front greatly,greatly,forward
222,5,12,downward and right gradually,gradually,down-right
223,5,13,up and to the back,,backward-up
224,5,14,slightly to the back and upward,slightly,backward-up
225,5,15,to the back and leftward,,backward-left
226,5,16,smoothly left,smoothly,left
227,5,17,downward and ahead,,down-forward
228,5,18,leftward and forward,,forward-left
229,5,19,greatly behind,greatly,backward
230,5,20,sharply to the front,sharply,forward
231,5,21,up softly,softly,up
232,5,22,to the back and to the left,,backward-left
233,5,23,ahead and right,,forward-right
234,5,24,harshly ahead,harshly,forward
235,5,25,backward immediately,immediately,backward
236,5,26,downward and left gradually,gradually,down-left
237,5,27,backward greatly,greatly,backward
238,5,28,harshly up,harshly,up
239,5,29,significantly backward and below,significantly,backward-down
240,5,30,greatly down and to the front,greatly,down-forward
241,5,31,to the left lightly,lightly,left
242,5,32,ahead and downward,,down-forward
243,5,33,upward and behind sharply,sharply,backward-up
244,5,34,sharply rightward,sharply,right
245,5,35,downward and forward,,down-forward
246,5,36,behind quickly,quickly,backward
247,5,37,smoothly leftward and behind,smoothly,backward-left
248,5,38,forward and upward quickly,quickly,forward-up
249,5,39,softly below and left,softly,down-left
250,5,40,above and to the left,,left-up
251,5,41,leftward and below lightly,lightly,down-left
252,6,0,left,,left
253,6,1,right,,right
254,6,2,forward,,forward
255,6,3,up,,up
256,6,4,backward,,backward
257,6,5,down,,down
258,6,6,sharply upward,sharply,up
259,6,7,to the right and behind,,backward-right
260,6,8,up and backward greatly,greatly,backward-up
261,6,9,greatly below,greatly,down
262,6,10,ahead and downward,,down-forward
263,6,11,downward and backward,,backward-down
264,6,12,right and downward,,down-right
265,6,13,to the left and down gradually,gradually,down-left
266,6,14,ahead lightly,lightly,forward
267,6,15,above and behind,,backward-up
268,6,16,softly rightward and to the back,softly,backward-right
269,6,17,above quickly,quickly,up
270,6,18,behind and above,,backward-up
271,6,19,to the back harshly,harshly,backward
272,6,20,rightward and up,,right-up
273,6,21,quickly to the back,quickly,backward
274,6,22,to the left and above harshly,harshly,left-up
275,6,23,softly right and down,softly,down-right
276,6,24,rightward and backward slowly,slowly,backward-right
277,6,25,lightly down and left,lightly,down-left
278,6,26,slowly to the right and to the front,slowly,forward-right
279,6,27,significantly ahead and up,significantly,forward-up
280,6,28,to the left and to the back smoothly,smoothly,backward-left
281,6,29,slightly left,slightly,left
282,6,30,to the front and right,,forward-right
283,6,31,ahead immediately,immediately,forward
284,6,32,downward and left quickly,quickly,down-left
285,6,33,left smoothly,smoothly,left
286,6,34,to the front and to the right,,forward-right
287,6,35,leftward and up,,left-up
288,6,36,slightly to the back,slightly,backward
289,6,37,greatly rightward,greatly,right
290,6,38,upward and right,,right-up
291,6,39,slightly above and backward,slightly,backward-up
292,6,40,to the left and ahead,,forward-left
293,6,41,above immediately,immediately,up
294,7,0,right,,right
295,7,1,down,,down
296,7,2,forward,,forward
297,7,3,backward,,backward
298,7,4,left,,left
299,7,5,up,,up
300,7,6,harshly to the left,harshly,left
301,7,7,backward and above,,backward-up
302,7,8,to the right slightly,slightly,right
303,7,9,smoothly to the back,smoothly,backward
304,7,10,below and forward,,down-forward
305,7,11,gradually below,gradually,down
306,7,12,downward slightly,slightly,down
307,7,13,backward and rightward,,backward-right
308,7,14,down and right,,down-right
309,7,15,ahead and down lightly,lightly,down-forward
310,7,16,sharply rightward and ahead,sharply,forward-right
311,7,17,backward quickly,quickly,backward
312,7,18,downward lightly,lightly,down
313,7,19,above and to the right gradually,gradually,right-up
314,7,20,to the back and upward,,backward-up
315,7,21,above and leftward,,left-up
316,7,22,up and to the left sharply,sharply,left-up
317,7,23,quickly left and forward,quickly,forward-left
318,7,24,harshly downward,harshly,down
319,7,25,ahead and downward,,down-forward
320,7,26,up harshly,harshly,up
321,7,27,gradually to the left and backward,gradually,backward-left
322,7,28,lightly leftward,lightly,left
323,7,29,up and rightward smoothly,smoothly,right-up
324,7,30,immediately leftward,immediately,left
325,7,31,to the right and forward,,forward-right
326,7,32,down and behind,,backward-down
327,7,33,forward sharply,sharply,forward
328,7,34,forward and to the right quickly,quickly,forward-right
329,7,35,softly to the front and leftward,softly,forward-left
330,7,36,upward and left,,left-up
331,7,37,gradually downward and rightward,gradually,down-right
332,7,38,left and forward,,forward-left
333,7,39,smoothly forward and down,smoothly,down-forward
334,7,40,rightward and down,,down-right
335,7,41,to the right and ahead slowly,slowly,forward-right
336,8,0,up,,up
337,8,1,forward,,forward
338,8,2,left,,left
339,8,3,backward,,backward
340,8,4,down,,down
341,8,5,right,,right
342,8,6,downward smoothly,smoothly,down
343,8,7,upward and ahead,,forward-up
344,8,8,right lightly,lightly,right
345,8,9,rightward and ahead,,forward-right
346,8,10,harshly down and to the left,harshly,down-left
347,8,11,backward and below,,backward-down
348,8,12,right softly,softly,right
349,8,13,right and downward,,down-right
350,8,14,smoothly to the left,smoothly,left
351,8,15,to the right immediately,immediately,right
352,8,16,below and to the back slowly,slowly,backward-down
353,8,17,leftward and downward,,down-left
354,8,18,downward and rightward,,down-right
355,8,19,greatly downward and rightward,greatly,down-right
356,8,20,leftward and behind,,backward-left
357,8,21,quickly forward,quickly,forward
358,8,22,below and to the left,,down-left
359,8,23,slowly below and right,slowly,down-right
360,8,24,to the right immediately,immediately,right
361,8,25,above and to the front slowly,slowly,forward-up
362,8,26,below and to the left,,down-left
363,8,27,ahead slightly,slightly,forward
364,8,28,ahead and to the right,,forward-right
365,8,29,left and down slightly,slightly,down-left
366,8,30,significantly to the back,significantly,backward
367,8,31,downward and ahead,,down-forward
368,8,32,forward and to the right sharply,sharply,forward-right
369,8,33,quickly above,quickly,up
370,8,34,left and backward significantly,significantly,backward-left
371,8,35,right and upward,,right-up
372,8,36,harshly up and rightward,harshly,right-up
373,8,37,immediately to the front and right,immediately,forward-right
374,8,38,smoothly ahead,smoothly,forward
375,8,39,sharply below,sharply,down
376,8,40,immediately to the left and up,immediately,left-up
377,8,41,upward and to the front gradually,gradually,forward-up
378,9,0,left,,left
379,9,1,right,,right
380,9,2,down,,down
381,9,3,backward,,backward
382,9,4,forward,,forward
383,9,5,up,,up
384,9,6,leftward and to the back,,backward-left
385,9,7,greatly rightward,greatly,right
386,9,8,to the front and rightward,,forward-right
387,9,9,behind and down,,backward-down
388,9,10,upward quickly,quickly,up
389,9,11,upward and ahead quickly,quickly,forward-up
390,9,12,to the back and above gradually,gradually,backward-up
391,9,13,harshly below,harshly,down
392,9,14,up and backward,,backward-up
393,9,15,forward and up,,forward-up
394,9,16,right and up,,right-up
395,9,17,behind gradually,gradually,backward
396,9,18,above gradually,gradually,up
397,9,19,leftward and up,,left-up
398,9,20,harshly right,harshly,right
399,9,21,down and to the front,,down-forward
400,9,22,gradually below,gradually,down
401,9,23,to the right and up,,right-up
402,9,24,immediately to the right and down,immediately,down-right
403,9,25,right and forward,,forward-right
404,9,26,significantly to the left and to the front,significantly,forward-left
405,9,27,slowly below and ahead,slowly,down-forward
406,9,28,down and right,,down-right
407,9,29,to the left sharply,sharply,left
408,9,30,right smoothly,smoothly,right
409,9,31,slightly to the front and rightward,slightly,forward-right
410,9,32,above and rightward,,right-up
411,9,33,smoothly downward,smoothly,down
412,9,34,significantly to the right and down,significantly,down-right
413,9,35,up and forward greatly,greatly,forward-up
414,9,36,right and downward slightly,slightly,down-right
415,9,37,smoothly below and forward,smoothly,down-forward
416,9,38,backward and leftward immediately,immediately,backward-left
417,9,39,up slightly,slightly,up
418,9,40,smoothly up,smoothly,up
419,9,41,leftward and to the front immediately,immediately,forward-left
